,Cluster,Clothing,Communication,Electronics,Entertainment,Groceries,Home Supplies,Lodging,Meals,Misc,Travel
0,1,0.0,0.0,0.0,0.0,0.0,8612.3,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,6645.8,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,56629.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0,28704.8,0.0,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0,0.0,0.0,25763.6,0.0,0.0,0.0
5,1,0.0,0.0,0.0,30962.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5585.6,0.0
7,1,0.0,71711.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,0.0,0.0,0.0,83886.5,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45856.1,0.0,0.0
10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62819.3,0.0,0.0
11,1,0.0,0.0,0.0,0.0,43889.6,0.0,0.0,0.0,0.0,0.0
12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79714.1,0.0,0.0
13,1,0.0,0.0,0.0,48934.1,0.0,0.0,0.0,0.0,0.0,0.0
14,1,0.0,0.0,0.0,1943.3,0.0,0.0,0.0,0.0,0.0,0.0
15,1,0.0,0.0,0.0,0.0,48455.3,0.0,0.0,0.0,0.0,0.0
16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158.1,0.0
17,1,0.0,0.0,65965.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,0.0,0.0,0.0,0.0,81475.4,0.0,0.0,0.0,0.0,0.0
19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17538.5,0.0,0.0
20,1,0.0,0.0,17795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21574.1,0.0,0.0
22,1,30089.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,63332.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1,0.0,0.0,60698.9,0.0,0.0,0.0,0.0,3242.9,0.0,0.0
25,1,0.0,0.0,0.0,0.0,0.0,28961.3,0.0,0.0,0.0,0.0
26,1,0.0,0.0,0.0,0.0,0.0,59621.6,0.0,0.0,23232.8,0.0
27,1,0.0,0.0,0.0,0.0,0.0,0.0,1943.3,0.0,0.0,0.0
28,1,0.0,0.0,0.0,9877.7,0.0,0.0,0.0,0.0,0.0,0.0
29,1,0.0,0.0,0.0,0.0,46146.8,0.0,0.0,0.0,0.0,0.0
30,1,0.0,0.0,0.0,62939.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,0.0,0.0,0.0,0.0,0.0,84502.1,0.0,0.0,0.0,0.0
32,1,0.0,79355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1,0.0,0.0,0.0,47531.9,0.0,0.0,0.0,0.0,0.0,0.0
34,1,0.0,0.0,0.0,0.0,36827.3,0.0,0.0,0.0,0.0,0.0
35,1,0.0,0.0,0.0,0.0,0.0,0.0,21574.1,0.0,0.0,0.0
36,1,0.0,0.0,0.0,0.0,0.0,0.0,76088.9,0.0,0.0,0.0
37,1,0.0,0.0,0.0,37100.9,44744.6,0.0,0.0,0.0,0.0,0.0
38,1,0.0,0.0,0.0,0.0,40589.3,0.0,0.0,0.0,0.0,0.0
39,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28499.6,0.0,0.0
40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80158.7,0.0
41,1,0.0,0.0,0.0,0.0,0.0,77285.9,0.0,0.0,0.0,0.0
42,1,0.0,0.0,0.0,0.0,0.0,729.2,0.0,0.0,0.0,0.0
43,1,0.0,0.0,0.0,43445.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,56868.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1,0.0,0.0,0.0,0.0,0.0,0.0,52456.7,0.0,0.0,0.0
46,1,38503.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,0.0,0.0,76362.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1,0.0,33065.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1,0.0,0.0,0.0,0.0,55928.0,0.0,0.0,0.0,0.0,0.0
50,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48899.9,0.0,0.0
51,1,14340.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69847.4,9929.0,0.0
53,1,37819.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1,2370.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1,0.0,0.0,0.0,115686.4,0.0,0.0,0.0,0.0,0.0,0.0
56,1,0.0,0.0,6030.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1,0.0,30602.9,47258.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1,0.0,0.0,0.0,13280.6,0.0,0.0,0.0,0.0,0.0,0.0
59,1,0.0,0.0,0.0,0.0,0.0,0.0,43274.0,0.0,0.0,0.0
60,1,0.0,0.0,0.0,0.0,0.0,80466.5,0.0,0.0,0.0,0.0
61,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55380.8,0.0,0.0
62,1,0.0,0.0,0.0,52935.5,0.0,0.0,0.0,0.0,0.0,0.0
63,1,0.0,0.0,0.0,0.0,0.0,6491.9,0.0,0.0,0.0,0.0
64,1,0.0,0.0,0.0,0.0,27268.4,0.0,0.0,0.0,0.0,0.0
65,1,0.0,0.0,11279.9,0.0,0.0,21044.0,0.0,0.0,0.0,0.0
66,1,0.0,0.0,0.0,50421.8,0.0,0.0,0.0,0.0,0.0,0.0
67,1,0.0,0.0,0.0,70582.7,0.0,0.0,0.0,0.0,0.0,0.0
68,1,0.0,0.0,63862.4,0.0,0.0,0.0,0.0,0.0,38349.2,0.0
69,1,0.0,0.0,0.0,39101.6,0.0,0.0,0.0,0.0,0.0,0.0
70,1,0.0,56594.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1,0.0,0.0,0.0,0.0,0.0,58920.5,36947.0,0.0,0.0,0.0
72,1,0.0,0.0,0.0,0.0,0.0,44009.3,0.0,0.0,0.0,0.0
73,1,0.0,0.0,0.0,0.0,0.0,0.0,59177.0,0.0,0.0,0.0
74,1,59279.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1,0.0,0.0,32022.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1,0.0,0.0,0.0,69043.7,0.0,0.0,0.0,0.0,0.0,0.0
77,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70001.3,0.0,0.0
78,1,0.0,0.0,0.0,0.0,0.0,0.0,44043.5,84724.4,0.0,0.0
79,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44590.7,0.0
80,1,0.0,0.0,0.0,64118.9,0.0,0.0,0.0,0.0,0.0,0.0
81,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68376.8,0.0,0.0
82,1,0.0,0.0,0.0,0.0,0.0,0.0,60117.5,0.0,0.0,0.0
83,1,84878.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1,0.0,0.0,0.0,0.0,0.0,0.0,2148.5,0.0,0.0,0.0
85,1,0.0,0.0,57877.4,0.0,0.0,14956.4,0.0,0.0,0.0,0.0
86,1,0.0,69266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1,0.0,0.0,5739.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1,0.0,0.0,4918.7,0.0,0.0,0.0,0.0,52815.8,0.0,0.0
89,1,0.0,0.0,0.0,0.0,0.0,18752.6,0.0,0.0,0.0,0.0
90,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37716.5,0.0
